Will i want?;Хочу ли я?
Did you follow?;Вы следили?
You didn't follow.;Вы не следили.
You followed.;Вы следили.
Will we follow?;Будем ли мы следовать?
We will not follow.;Мы не будем следовать.
We will follow.;Мы будем следовать.
Do we follow?;Мы следуем?
We don't follow.;Мы не следуем.
We follow.;Мы следуем.
Did we follow?;Мы следовали?
We didn't follow.;Мы не последовали.
We followed.;Мы следовали.
Will they follow?;Будут ли они следовать?
They will not follow.;Они не будут следовать.
They will follow.;Они будут следовать.
Do they follow?;Они следуют?
They don't follow.;Они не следуют.
They follow.;Они следуют.
Did they follow?;Они следовали?
They didn't follow.;Они не последовали.
They followed.;Они последовали.
Will he follow?;Будет ли он следовать?
He will not follow.;Он не будет следовать.
He will follow.;Он будет следовать.
Does he follow?;Он следует?
He doesn't follow.;Он не следует
He followes.;Он следует.
Did he follow?;Он следовал?
He didn't follow.;Он не последовал.
He followed.;Он последовал.
Will she follow?;Будет ли она следовать?
She will not follow.;Она не будет следовать.
She will follow.;Она последует
Does she follow?;Она следует?
She doesn't follow.;Она не следует.
She followes.;Она следует
Did she follow?;Она следовала?
She didn't follow.;Она не следовала.
She followed.;Она последовала.
Will i stop?;Я остановлюсь?
I will not stop.;Я не остановлюсь.
I will stop.;Я остановлюсь.
Do i stop?;Я остановлюсь?
I don't stop.;Я не останавливаюсь
I stop.;Я остановился.
Did i stop?;Я остановился?
I didn't stop.;Я не остановился.
I stopped.;Я остановился.
Will you stop?;Ты остановишься?
You will not stop.;Ты не остановишься.
You will stop.;Вы остановитесь.
Do you stop?;Вы останавливаетесь?
You don't stop.;Вы не останавливаетесь.
You stop.;Вы остановитесь.
Did you stop?;Ты остановился?
You didn't stop.;Вы не остановились.
You stopped.;Вы остановились
Will we stop?;Мы остановимся?
We will not stop.;Мы не будем останавливаться.
We will stop.;Мы остановимся
Do we stop?;Мы остановимся?
We don't stop.;Мы не останавливаемся.
We stop.;Мы останавливаемся.
Did we stop?;Мы остановились?
We didn't stop.;Мы не остановились.
We stopped.;Мы остановились.
Will they stop?;Остановятся ли они?
They will not stop.;Они не остановятся.
They will stop.;Они остановятся.
Do they stop?;Они останавливаются?
They don't stop.;Они не останавливаются.
They stop.;Они останавливаются
Did they stop?;Они остановились?
They didn't stop.;Они не остановились.
They stopped.;Они остановились.
Will he stop?;Он остановится?
He will not stop.;Он не остановится.
He will stop.;Он остановится
Does he stop?;Он останавливается?
He doesn't stop.;Он не останавливается.
He stopes.;Он останавливается
Did he stop?;Он остановился?
He didn't stop.;Он не остановился.
He stopped.;Он остановился.
Will she stop?;Она остановится?
She will not stop.;Она не остановится.
She will stop.;Она остановится
Does she stop?;Она останавливается?
She doesn't stop.;Она не останавливается.
She stopes.;Она останавливается
Did she stop?;Она остановилась?
She didn't stop.;Она не остановилась.
She stopped.;Она остановилась
Will i create?;Я буду создавать?
I will not create.;Я не буду создавать.
I will create.;Я создам.
Do i create?;Я создаю?
I don't create.;Я не создаю.
I create.;Я создаю.
Did i create?;Я создал?
I didn't create.;Я не создал.
I created.;Я создал.
Will you create?;Вы будете создавать?
You will not create.;Вы не будете создавать.
You will create.;Вы создадите.
Do you create?;Вы создаете?
You don't create.;Вы не создаете.
You create.;Вы создаете.
Did you create?;Вы создали?
You didn't create.;Вы не создали.
You created.;Вы создали
Will we create?;Будем ли мы создавать?
We will not create.;Мы не будем создавать.
We will create.;Мы будем создавать.
Do we create?;Мы создаем?
We don't create.;Мы не создаем.
We create.;Мы создаем.
Did we create?;Мы создали?
We didn't create.;Мы не создавали.
We created.;Мы создали.
Will they create?;Будут ли они создавать?
They will not create.;Они не будут создавать.
They will create.;Они будут создавать.
Do they create?;Они создают?
They don't create.;Они не создают.
They create.;Они создают.
Did they create?;Они создали?
They didn't create.;Они не создали.
They created.;Они создали.
Will he create?;Будет ли он создавать?
He will not create.;Он не будет создавать.
He will create.;Он создаст.
Does he create?;Он создает?
He doesn't create.;Он не создает.
He creates.;Он создает.
Did he create?;Он создал?
He didn't create.;Он не создал.
He created.;Он создал.
Will she create?;Будет ли она создавать?
She will not create.;Она не будет создавать.
She will create.;Она создаст.
Does she create?;Она создает?
She doesn't create.;Она не создает.
She creates.;Она творит.
Did she create?;Она создала?
She didn't create.;Она не создавала.
She created.;Она создана.
Will i open?;Я открою?
I will not open.;Я не буду открывать.
I will open.;Я раскрою.
Do i open?;Я открываю?
I don't open.;Я не открываю
I open.;Я открываю.
Did i open?;Я открыл?
I didn't open.;Я не открылся.
I opened.;Я открыл.
Will you open?;Вы откроете?
You will not open.;Вы не откроете.
You will open.;Вы откроете.
Do you open?;Ты открываешь?
You don't open.;Вы не открываете.
You open.;Вы откроете.
Did you open?;Ты открыл?
You didn't open.;Вы не открыли.
You opened.;Вы открыли.
Will we open?;Мы откроем?
We will not open.;Мы не откроем.
We will open.;Мы откроем.
Do we open?;Мы открываем?
We don't open.;Мы не открываем.
We open.;Мы открыты.
Did we open?;Мы открыли?
We didn't open.;Мы не открылись.
We opened.;Мы открыли.
Will they open?;Они откроются?
They will not open.;Они не откроются.
They will open.;Они откроются.
Do they open?;Они открываются?
They don't open.;Они не открываются.
They open.;Они открывают.
Did they open?;Они открылись?
They didn't open.;Они не открылись.
They opened.;Они открылись.
Will he open?;Он откроет?
He will not open.;Он не откроется.
He will open.;Он откроется.
Does he open?;Он открывается?
He doesn't open.;Он не открывается.
He openes.;Он открывает.
Did he open?;Он открыл?
He didn't open.;Он не открылся.
He opened.;Он открыл.
Will she open?;Она откроется?
She will not open.;Она не откроется.
She will open.;Она откроется.
Does she open?;Она открывается?
She doesn't open.;Она не открывается.
She openes.;Она открывает.
Did she open?;Она открылась?
She didn't open.;Она не открылась.
She opened.;Она открыла.
Will i walk?;Буду ли я ходить?
I will not walk.;Я не буду ходить.
I will walk.;Я пойду.
Do i walk?;Я иду?
I don't walk.;Я не хожу
I walk.;Я иду пешком.
Did i walk?;Я ходил?
I didn't walk.;Я не ходил.
I walked.;Я гулял.
Will you walk?;Ты будешь гулять?
You will not walk.;Вы не будете ходить.
You will walk.;Ты будешь гулять
Do you walk?;Ты ходишь?
You don't walk.;Ты не ходишь.
You walk.;Ты ходишь.
Did you walk?;Ты ходил?
You didn't walk.;Ты не ходил.
You walked.;Ты гулял.
Will we walk?;Мы будем гулять?
We will not walk.;Мы не будем ходить.
We will walk.;Мы будем гулять
Do we walk?;Мы гуляем?
We don't walk.;Мы не ходим.
We walk.;Мы гуляем.
Did we walk?;Мы гуляли?
We didn't walk.;Мы не гуляли.
We walked.;Мы шли.
Will they walk?;Будут ли они ходить?
They will not walk.;Они не будут ходить.
They will walk.;Они будут ходить.
Do they walk?;Они ходят?
They don't walk.;Они не ходят.
They walk.;Они идут.
Did they walk?;Они ходили?
They didn't walk.;Они не ходили.
They walked.;Они гуляли.
Will he walk?;Будет ли он ходить?
He will not walk.;Он не будет ходить.
He will walk.;Он будет ходить.
Does he walk?;Он ходит?
He doesn't walk.;Он не ходит.
He walkes.;Он гуляет.
Did he walk?;Он ходил?
He didn't walk.;Он не ходил.
He walked.;Он шел.
Will she walk?;Будет ли она ходить?
She will not walk.;Она не будет ходить.
She will walk.;Она будет ходить
Does she walk?;Она ходит?
She doesn't walk.;Она не ходит
She walkes.;Она гуляет.
Did she walk?;Она ходила?
She didn't walk.;Она не ходила.
She walked.;Она гуляла.
Will i offer?;Я предложу?
I will not offer.;Я не буду предлагать.
I will offer.;Я предложу.
Do i offer?;Я предлагаю?
I don't offer.;Я не предлагаю.
I offer.;Я предлагаю.
Did i offer?;Я предлагал?
I didn't offer.;Я не предлагал.
I offered.;Я предлагал.
Will you offer?;Будешь предлагать?
You will not offer.;Вы не будете предлагать.
You will offer.;Вы предложите.
Do you offer?;Вы предлагаете?
You don't offer.;Вы не предлагаете.
You offer.;Ты предлагаешь.
Did you offer?;Ты предлагал?
You didn't offer.;Вы не предлагали.
You offered.;Вы предлагали.
Will we offer?;Мы предложим?
We will not offer.;Мы не будем предлагать.
We will offer.;Мы предложим.
Do we offer?;Мы предлагаем?
We don't offer.;Мы не предлагаем.
We offer.;Мы предлагаем.
Did we offer?;Мы предлагали?
We didn't offer.;Мы не предлагали.
We offered.;Мы предложили.
Will they offer?;Будут ли они предлагать?
They will not offer.;Они не будут предлагать.
They will offer.;Они предложат.
Do they offer?;Они предлагают?
They don't offer.;Они не предлагают.
They offer.;Они предлагают.
Did they offer?;Они предлагали?
They didn't offer.;Они не предлагали.
They offered.;Они предложили.
Will he offer?;Он предложит?
He will not offer.;Он не предложит.
He will offer.;Он предложит.
Does he offer?;Он предлагает?
He doesn't offer.;Он не предлагает.
He offeres.;Он предлагает.
Did he offer?;Он предлагал?
He didn't offer.;Он не предлагал.
He offered.;Он предложил.
Will she offer?;Она предложит?
She will not offer.;Она не предложит.
She will offer.;Она предложит.
Does she offer?;Она предлагает?
She doesn't offer.;Она не предлагает.
She offeres.;Она предлагает.
Did she offer?;Она предложила?
She didn't offer.;Она не предложила.
She offered.;Она предложила.
Will i remember?;Я буду помнить?
I will not remember.;Я не буду помнить
I will remember.;Я буду помнить.
Do i remember?;Я помню?
I don't remember.;Я не помню
I remember.;Я помню.
Did i remember?;Я помню?
I didn't remember.;Я не помню
I remembered.;Я вспомнил.
Will you remember?;Вы запомните?
You will not remember.;Вы не будете помнить.
You will remember.;Вы будете помнить
Do you remember?;Ты помнишь?
You don't remember.;Вы не помните.
You remember.;Ты помнишь.
Did you remember?;Не забыли ли вы?
You didn't remember.;Вы не помнили.
You remembered.;Ты запомнил.
Will we remember?;Будем ли мы помнить?
We will not remember.;Мы не будем помнить.
We will remember.;Мы будем помнить.
Do we remember?;Мы помним?
We don't remember.;Мы не помним.
We remember.;Мы помним.
Did we remember?;Мы помнили?
We didn't remember.;Мы не помнили.
We remembered.;Мы вспомнили.
Will they remember?;Будут ли они помнить?
They will not remember.;Они не будут помнить.
They will remember.;Они будут помнить.
Do they remember?;Они помнят?
They don't remember.;Они не помнят.
They remember.;Они помнят.
Did they remember?;Они помнили?
They didn't remember.;Они не помнили.
They remembered.;Они вспомнили.
Will he remember?;Будет ли он помнить?
He will not remember.;Он не будет помнить.
He will remember.;Он запомнит.
Does he remember?;Он помнит?
He doesn't remember.;Он не помнит.
He rememberes.;Он помнит.
Did he remember?;Он помнил?
He didn't remember.;Он не помнил.
He remembered.;Он помнил.
Will she remember?;Будет ли она помнить?
She will not remember.;Она не будет помнить.
She will remember.;Она будет помнить
Does she remember?;Она помнит?
She doesn't remember.;Она не помнит.
She rememberes.;Она помнит.
Did she remember?;Она помнила?
She didn't remember.;Она не помнила.
She remembered.;Она вспомнила.
Will i consider?;Я рассмотрю?
I will not consider.;Я не буду рассматривать.
I will consider.;Я учту.
Do i consider?;Я считаю?
I don't consider.;Я не считаю
I consider.;Я полагаю.
Did i consider?;Я рассмотрел?
I didn't consider.;Я не считал.
I considered.;Я считал.
Will you consider?;Будете ли вы рассмотреть?
You will not consider.;Вы не будете считать.
You will consider.;Вы рассмотрите.
Do you consider?;Рассматриваете ли вы?
You don't consider.;Вы не считаете.
You consider.;Вы считаете.
Did you consider?;Вы рассматривали?
You didn't consider.;Вы не учли.
You considered.;Вы считали.
Will we consider?;Будем ли мы рассматривать?
We will not consider.;Мы не будем рассматривать.
We will consider.;Мы рассмотрим.
Do we consider?;Мы считаем?
We don't consider.;Мы не считаем.
We consider.;Мы считаем.
Did we consider?;Мы рассмотрели?
We didn't consider.;Мы не рассматривали.
We considered.;Мы рассмотрели.
Will they consider?;Будут ли они рассматривать?
They will not consider.;Они не будут рассматривать.
They will consider.;Они рассмотрят.
Do they consider?;Они считают?
They don't consider.;Они не считают.
They consider.;Они считают.
Did they consider?;Они считали?
They didn't consider.;Они не считали.
They considered.;Они считали.
Will he consider?;Будет ли он считать?
He will not consider.;Он не будет рассматривать.
He will consider.;Он рассмотрит.
Does he consider?;Он считает?
He doesn't consider.;Он не считает.
He consideres.;Он считает.
Did he consider?;Он считал?
He didn't consider.;Он не считал.
He considered.;Он считал.
Will she consider?;Будет ли она рассмотреть?
She will not consider.;Она не будет рассматривать.
She will consider.;Она рассмотрит.
Does she consider?;Она считает?
She doesn't consider.;Она не считает.
She consideres.;Она считает.
Did she consider?;Она считала?
She didn't consider.;Она не считала.
She considered.;Она считается.
Will i appear?;Я появлюсь?
I will not appear.;Я не буду появляться.
I will appear.;Я появлюсь.
Do i appear?;Я появляюсь?
I don't appear.;Я не появляюсь
I appear.;Я появился.
Did i appear?;Я появился?
I didn't appear.;Я не появился
I appeared.;Я появился
Will you appear?;Вы появитесь?
You will not appear.;Вы не появитесь.
You will appear.;Вы появитесь.
Do you appear?;Вы появляетесь?
You don't appear.;Ты не появляешься.
You appear.;Вы появляетесь.
Did you appear?;Вы появились?
You didn't appear.;Вы не появились
You appeared.;Вы появились
Will we appear?;Мы появимся?
We will not appear.;Мы не появимся.
We will appear.;Мы появимся.
Do we appear?;Мы появляемся?
We don't appear.;Мы не появляемся.
We appear.;Мы появляемся.
Did we appear?;Мы появились?
We didn't appear.;Мы не появились.
We appeared.;Мы появились.
Will they appear?;Появятся ли они?
They will not appear.;Они не появятся.
They will appear.;Они появятся.
Do they appear?;Они появляются?
They don't appear.;Они не появляются.
They appear.;Они появились.
Did they appear?;Они появились?
They didn't appear.;Они не появились.
They appeared.;Они появились.
Will he appear?;Он появится?
He will not appear.;Он не появится.
He will appear.;Он появится.
Does he appear?;Он появляется?
He doesn't appear.;Он не появляется
He appeares.;Он появляется.
Did he appear?;Он появился?
He didn't appear.;Он не появился.
He appeared.;Он появился.
Will she appear?;Она появится?
She will not appear.;Она не появится.
She will appear.;Она появится.
Does she appear?;Она появляется?
She doesn't appear.;Она не появляется
She appeares.;Она появляется
Did she appear?;Она появилась?
She didn't appear.;Она не появилась.
She appeared.;Она появилась.
Will i serve?;Я буду служить?
I will not serve.;Я не буду служить.
I will serve.;Я буду служить.
Do i serve?;Я служу?
I don't serve.;Я не служу.
I serve.;Я подаю.
Did i serve?;Я служил?
I didn't serve.;Я не служил.
I served.;Я служил
Will you serve?;Будешь ли ты служить?
You will not serve.;Вы не будете служить.
You will serve.;Вы будете служить.
Do you serve?;Вы служите?
You don't serve.;Ты не служишь.
You serve.;Вы служите.
Did you serve?;Вы служили?
You didn't serve.;Ты не служил.
You served.;Вы служили.
Will we serve?;Мы будем служить?
We will not serve.;Мы не будем служить.
We will serve.;Мы будем служить.
Do we serve?;Мы служим?
We don't serve.;Мы не служим.
We serve.;Мы обслуживаем.
Did we serve?;Мы служили?
We didn't serve.;Мы не служили.
We served.;Мы служили.
Will they serve?;Будут ли они служить?
They will not serve.;Они не будут служить.
They will serve.;Они будут служить.
Do they serve?;Они служат?
They don't serve.;Они не служат.
They serve.;Они служат.
Did they serve?;Они служили?
They didn't serve.;Они не служили.
They served.;Они служили.
Will he serve?;Будет ли он служить?
He will not serve.;Он не будет служить.
He will serve.;Он будет служить.
Does he serve?;Он служит?
He doesn't serve.;Он не служит.
He serves.;Он служит.
Did he serve?;Он служил?
He didn't serve.;Он не служил.
He served.;Он служил.
Will she serve?;Будет ли она служить?
She will not serve.;Она не будет служить.
She will serve.;Она будет служить.
Does she serve?;Она служит?
She doesn't serve.;Она не служит.
She serves.;Она служит.
Did she serve?;Она служила?
She didn't serve.;Она не служила.
She served.;Она служила.
Will i die?;Я умру?
I will not die.;Я не умру.
I will die.;Я умру.
Do i die?;Я умру?
I don't die.;Я не умираю
I die.;Я умер.
Did i die?;Я умер?
I didn't die.;Я не умер
I died.;Я умер.
Will you die?;Ты умрешь?
You will not die.;Ты не умрешь.
You will die.;Ты умрешь.
Do you die?;Ты умрешь?
You don't die.;Ты не умрешь.
You die.;Ты умрешь
Did you die?;Ты умрешь?
You didn't die.;Ты не умер.
You died.;Вы умерли.
Will we die?;Мы умрем?
We will not die.;Мы не умрем.
We will die.;Мы умрем.
Do we die?;Мы умираем?
We don't die.;Мы не умираем.
We die.;Мы умрем.
Did we die?;Мы умерли?
We didn't die.;Мы не умерли.
We died.;Мы умерли
Will they die?;Они умрут?
They will not die.;Они не умрут.
They will die.;Они умрут.
Do they die?;Они умирают?
They don't die.;Они не умирают.
They die.;Они умирают.
Did they die?;Они умерли?
They didn't die.;Они не умерли.
They died.;Они умерли.
Will he die?;Он умрет?
He will not die.;Он не умрет.
He will die.;Он умрет.
Does he die?;Он умер?
He doesn't die.;Он не умирает.
He dies.;Он умирает.
Did he die?;Он умер?
He didn't die.;Он не умер.
He died.;Он умер.
Will she die?;Она умрет?
She will not die.;Она не умрет.
She will die.;Она умрет
Does she die?;Она умерла?
She doesn't die.;Она не умирает.
She dies.;Она умирает.
Did she die?;Она умерла?
She didn't die.;Она не умерла.
She died.;Она умерла.
Will i stay?;Я останусь?
I will not stay.;Я не останусь
I will stay.;Я останусь.
Do i stay?;Я остаюсь?
I don't stay.;Я не остаюсь
I stay.;Я остаюсь
Did i stay?;Я остался?
I didn't stay.;Я не остался.
I stayed.;Я остался.
Will you stay?;Ты останешься?
You will not stay.;Вы не останетесь.
You will stay.;Ты останешься.
Do you stay?;Ты остаешься?
You don't stay.;Вы не остаетесь
You stay.;Вы остаетесь.
Did you stay?;Ты остался?
You didn't stay.;Вы не остались.
You stayed.;Вы остались.
Will we stay?;Мы останемся?
We will not stay.;Мы не останемся.
We will stay.;Мы останемся.
Do we stay?;Мы остаемся?
We don't stay.;Мы не остаемся.
We stay.;Мы остаемся.
Did we stay?;Мы остались?
We didn't stay.;Мы не остались.
We stayed.;Мы остались.
Will they stay?;Останутся ли они?
They will not stay.;Они не останутся.
They will stay.;Они останутся.
Do they stay?;Они остаются?
They don't stay.;Они не остаются.
They stay.;Они остаются.
Did they stay?;Они остались?
They didn't stay.;Они не остались.
They stayed.;Они остались.
Will he stay?;Он останется?
He will not stay.;Он не останется.
He will stay.;Он останется
Does he stay?;Он остался?
He doesn't stay.;Он не остается.
He staes.;Он остается.
Did he stay?;Он остался?
He didn't stay.;Он не остался.
He stayed.;Он остался.
Will she stay?;Она останется?
She will not stay.;Она не останется.
She will stay.;Она останется
Does she stay?;Она осталась?
She doesn't stay.;Она не остается.
She staes.;Она остается.
Did she stay?;Она осталась?
She didn't stay.;Она не осталась.
She stayed.;Она осталась.
Will i reach?;Я достигну?
I will not reach.;Я не достигну.
I will reach.;Я достигну.
Do i reach?;Я достигну?
I don't reach.;Я не достигаю
I reach.;Я богат.
Did i reach?;Я достиг?
I didn't reach.;Я не достиг.
I reached.;Я достиг.
Will you reach?;Вы достигнете?
You will not reach.;Вы не достигнете.
You will reach.;Вы достигнете.
Do you reach?;Вы достигаете?
You don't reach.;Вы не достигли.
You reach.;Ты достигаешь.
Did you reach?;Вы достигли?
You didn't reach.;Вы не достигли.
You reached.;Вы достигли.
Will we reach?;Дойдем ли мы?
We will not reach.;Мы не достигнем.
We will reach.;Мы достигнем.
Do we reach?;Мы достигаем?
We don't reach.;Мы не достигаем.
We reach.;Мы достигаем.
Did we reach?;Мы достигли?
We didn't reach.;Мы не достигли.
We reached.;Мы достигли.
Will they reach?;Дойдут ли они?
They will not reach.;Они не достигнут.
They will reach.;Они дойдут.
Do they reach?;Они достигают?
They don't reach.;Они не достигают.
They reach.;Они достигают.
Did they reach?;Они достигли?
They didn't reach.;Они не достигли.
They reached.;Они достигли.
Will he reach?;Достигнет ли он?
He will not reach.;Он не достигнет.
He will reach.;Он достигнет.
Does he reach?;Достигает ли он?
He doesn't reach.;Он не достигает.
He reaches.;Он достигает.
Did he reach?;Достиг ли он?
He didn't reach.;Он не достиг.
He reached.;Он достиг.
Will she reach?;Дойдет ли она?
She will not reach.;Она не достигнет.
She will reach.;Она достигнет.
Does she reach?;Она достигает?
She doesn't reach.;Она не доходит.
She reaches.;Она достигает.
Did she reach?;Она достигла?
She didn't reach.;Она не достигла.
She reached.;Она достигла.
Will i kill?;Я убью?
I will not kill.;Я не буду убивать.
I will kill.;Я убью.
Do i kill?;Я убиваю?
I don't kill.;Я не убиваю.
I kill.;Я убиваю.
Did i kill?;Я убил?
I didn't kill.;Я не убивал.
I killed.;Я убил.
Will you kill?;Ты убьешь?
You will not kill.;Ты не убьешь.
You will kill.;Ты убьешь.
Do you kill?;Ты убиваешь?
You don't kill.;Ты не убиваешь.
You kill.;Ты убиваешь.
Did you kill?;Ты убил?
You didn't kill.;Ты не убивал.
You killed.;Ты убил.
Will we kill?;Будем ли мы убивать?
We will not kill.;Мы не будем убивать.
We will kill.;Мы убьем.
Do we kill?;Мы убиваем?
We don't kill.;Мы не убиваем.
We kill.;Мы убиваем.
Did we kill?;Мы убили?
We didn't kill.;Мы не убивали.
We killed.;Мы убили.
Will they kill?;Будут ли они убивать?
They will not kill.;Они не будут убивать.
They will kill.;Они убьют.
Do they kill?;Они убивают?
They don't kill.;Они не убивают.
They kill.;Они убивают.
Did they kill?;Они убили?
They didn't kill.;Они не убивали.
They killed.;Они убиты.
Will he kill?;Он убьет?
He will not kill.;Он не убьет.
He will kill.;Он убьет.
Does he kill?;Он убивает?
He doesn't kill.;Он не убивает.
He killes.;Он убивает.
Did he kill?;Он убил?
He didn't kill.;Он не убивал.
He killed.;Он убил.
Will she kill?;Она убьет?
She will not kill.;Она не убьет.
She will kill.;Она убьет.
Does she kill?;Она убивает?
She doesn't kill.;Она не убивает.
She killes.;Она убивает.
Did she kill?;Она убила?
She didn't kill.;Она не убивала.
She killed.;Она убила
Will i raise?;Буду ли я поднять?
I will not raise.;Я не буду поднимать.
I will raise.;Я буду поднимать.
Do i raise?;Я поднимаю?
I don't raise.;Я не поднимаю.
I raise.;Я поднимаю.
Did i raise?;Я поднял?
I didn't raise.;Я не поднял.
I raised.;Я поднял.
Will you raise?;Будете ли вы поднять?
You will not raise.;Вы не будете поднимать.
You will raise.;Вы поднимете.
Do you raise?;Вы поднимаете?
You don't raise.;Вы не поднимаете.
You raise.;Вы поднимаете.
Did you raise?;Вы подняли?
You didn't raise.;Вы не подняли.
You raised.;Вы подняли.
Will we raise?;Будем ли мы поднять?
We will not raise.;Мы не будем поднимать.
We will raise.;Мы будем поднимать.
Do we raise?;Мы поднимаем?
We don't raise.;Мы не поднимаем.
We raise.;Мы поднимаем.
Did we raise?;Мы подняли?
We didn't raise.;Мы не поднимали.
We raised.;Мы подняли.
Will they raise?;Будут ли они поднять?
They will not raise.;Они не будут поднимать.
They will raise.;Они будут поднимать.
Do they raise?;Они поднимают?
They don't raise.;Они не поднимают.
They raise.;Они поднимают.
Did they raise?;Они подняли?
They didn't raise.;Они не подняли.
They raised.;Они подняли.
Will he raise?;Он поднимет?
He will not raise.;Он не поднимет.
He will raise.;Он поднимет.
Does he raise?;Он поднимает?
He doesn't raise.;Он не поднимает.
He raises.;Он поднимает.
Did he raise?;Он поднял?
He didn't raise.;Он не поднял.
He raised.;Он поднял.
Will she raise?;Она поднимет?
She will not raise.;Она не поднимет.
She will raise.;Она поднимет.
Does she raise?;Она поднимает?
She doesn't raise.;Она не поднимает.
She raises.;Она поднимает.
Did she raise?;Она подняла?
She didn't raise.;Она не поднимала.
She raised.;Она подняла.
Will i pass?;Я пройду?
I will not pass.;Я не пройду.
I will pass.;Я пройду.
Do i pass?;Я передаю?
I don't pass.;Я не прохожу
I pass.;Я пропускаю.
Did i pass?;Я прошел?
I didn't pass.;Я не прошел.
I passed.;Я прошел.
Will you pass?;Вы пройдете?
You will not pass.;Вы не пройдете.
You will pass.;Вы пройдете.
Do you pass?;Вы проходите?
You don't pass.;Вы не проходите
You pass.;Вы передаете.
Did you pass?;Вы прошли?
You didn't pass.;Вы не прошли.
You passed.;Вы прошли.
Will we pass?;Мы пройдем?
We will not pass.;Мы не пройдем.
We will pass.;Мы пройдем.
Do we pass?;Мы проходим?
We don't pass.;Мы не передаем.
We pass.;Мы проходим
Did we pass?;Мы прошли?
We didn't pass.;Мы не прошли.
We passed.;Мы прошли.
Will they pass?;Они пройдут?
They will not pass.;Они не пройдут.
They will pass.;Они пройдут.
Do they pass?;Они проходят?
They don't pass.;Они не проходят.
They pass.;Они проходят.
Did they pass?;Они прошли?
They didn't pass.;Они не прошли.
They passed.;Они прошли.
Will he pass?;Он пройдет?
He will not pass.;Он не пройдет.
He will pass.;Он пройдет.
Does he pass?;Он проходит?
He doesn't pass.;Он не проходит.
He passes.;Он проходит.
Did he pass?;Он прошел?
He didn't pass.;Он не прошел.
He passed.;Он прошел.
Will she pass?;Она пройдет?
She will not pass.;Она не пройдет.
She will pass.;Она пройдет.
Does she pass?;Она проходит?
She doesn't pass.;Она не проходит.
She passes.;Она проходит.
Did she pass?;Она прошла?
She didn't pass.;Она не прошла.
She passed.;Она прошла.
Will i decide?;Я решу?
I will not decide.;Я не буду решать.
I will decide.;Я решу
Do i decide?;Я решаю?
I don't decide.;Я не решаю
I decide.;Я решил.
Did i decide?;Я решил?
I didn't decide.;Я не решил.
I decided.;Я решил.
Will you decide?;Вы решите?
You will not decide.;Вы не будете решать.
You will decide.;Тебе решать.
Do you decide?;Вы решаете?
You don't decide.;Вы не решаете.
You decide.;Вам решать.
Did you decide?;Вы решили?
You didn't decide.;Вы не решили.
You decided.;Ты решил.
Will we decide?;Будем ли мы решать?
We will not decide.;Мы не будем решать.
We will decide.;Мы решим.
Do we decide?;Мы решаем?
We don't decide.;Мы не решаем.
We decide.;Мы решаем.
Did we decide?;Мы решили?
We didn't decide.;Мы не решили.
We decided.;Мы решили.
Will they decide?;Будут ли они решать?
They will not decide.;Они не будут решать.
They will decide.;Они решат.
Do they decide?;Они решают?
They don't decide.;Они не решают.
They decide.;Они решают.
Did they decide?;Они решили?
They didn't decide.;Они не решили.
They decided.;Они решили.
Will he decide?;Будет ли он решать?
He will not decide.;Он не будет решать.
He will decide.;Он решит.
Does he decide?;Он решает?
He doesn't decide.;Он не решает.
He decides.;Он решает.
Did he decide?;Он решил?
He didn't decide.;Он не решил.
He decided.;Он решил.
Will she decide?;Она решит?
She will not decide.;Она не решит.
She will decide.;Она решит.
Does she decide?;Она решает?
She doesn't decide.;Она не решает.
She decides.;Она решает.
Did she decide?;Она решила?
She didn't decide.;Она не решила.
She decided.;Она решила.
Will i return?;Я вернусь?
I will not return.;Я не вернусь.
I will return.;Я вернусь.
Do i return?;Я вернусь?
I don't return.;Я не вернусь
I return.;Я возвращаюсь.
Did i return?;Я вернулся?
I didn't return.;Я не вернулся.
I returned.;Я вернулся.
Will you return?;Ты вернешься?
You will not return.;Вы не вернетесь.
You will return.;Вы вернетесь.
Do you return?;Ты возвращаешься?
You don't return.;Вы не вернетесь.
You return.;Вы вернетесь.
Did you return?;Ты вернулся?
You didn't return.;Вы не вернулись.
You returned.;Вы вернулись.
Will we return?;Мы вернемся?
We will not return.;Мы не вернемся.
We will return.;Мы вернемся.
Do we return?;Мы вернемся?
We don't return.;Мы не вернемся.
We return.;Мы возвращаем.
Did we return?;Мы вернулись?
We didn't return.;Мы не вернулись.
We returned.;Мы вернулись.
Will they return?;Они вернутся?
They will not return.;Они не вернутся.
They will return.;Они вернутся.
Do they return?;Они возвращаются?
They don't return.;Они не возвращаются.
They return.;Они вернулись.
Did they return?;Они вернулись?
They didn't return.;Они не вернулись.
They returned.;Они вернулись.
Will he return?;Он вернется?
He will not return.;Он не вернется.
He will return.;Он вернется
Does he return?;Он вернулся?
He doesn't return.;Он не возвращается.
He returnes.;Он возвращается.
Did he return?;Он вернулся?
He didn't return.;Он не вернулся.
He returned.;Он вернулся.
Will she return?;Она вернется?
She will not return.;Она не вернется.
She will return.;Она вернется
Does she return?;Она вернулась?
She doesn't return.;Она не возвращается.
She returnes.;Она возвращается.
Did she return?;Она вернулась?
She didn't return.;Она не вернулась.
She returned.;Она вернулась.
Will i explain?;Я объясню?
I will not explain.;Я не буду объяснять.
